[22/12/2023 16:02:23.447]	c5dc0b2d-2a50-40ed-9486-28ba1c1bdc93	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 16:12:58.247]	407b7096-fe9b-44ca-911d-ef07c7c339c6	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 16:12:58.249]	c46a1109-5f42-4f96-99c3-520deaba1313	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 16:34:18.453]	c99cc6eb-9559-42e2-ae97-a3ff3e2ba595	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 16:34:18.455]	815322dc-d1fd-432a-bbf6-86290103c97f	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 16:34:24.922]	71b7622b-9530-4155-b63c-d8bda7009f88	OPTIONS	http://localhost:3001	/api/users/v1/authentication/logout
[22/12/2023 16:34:26.503]	0ad86ee4-3675-41c1-ae76-498807fe18a6	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 16:34:26.506]	3898eda8-f9f7-4e94-9ceb-4cdf098af230	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 16:36:14.563]	3e6c9506-66e1-4f4b-a8f1-a89e6ccbfad0	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 16:36:14.566]	1336bb33-f82b-45fa-96ba-08e7f7ce660b	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 16:38:09.675]	2f2ac395-ef94-4dbd-a945-dceb1105a636	OPTIONS	http://localhost:3001	/api/users/v1/authentication/logout
[22/12/2023 16:38:11.068]	3428b137-1dac-48de-9d9b-726568cd38b6	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 16:38:11.071]	bc405c7d-7966-4832-a202-90bcd660f779	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 16:38:13.759]	fdea5306-f7df-4122-9313-2950330ff105	OPTIONS	http://localhost:3001	/api/users/v1/authentication/logout
[22/12/2023 16:38:14.932]	685bbd80-7c5f-4592-921e-eb67c955a080	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 16:38:18.490]	c5175d80-c43d-4b74-bf3c-0cf7cb2126f1	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 16:38:18.492]	060d72d9-2e9d-4a35-9bc8-44c40c297c67	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 16:40:01.228]	e76ff3a8-ab56-4efb-92b9-c6b082e36ac7	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 16:40:01.230]	ffbfeffe-2624-4c2d-9480-d36a1c98da51	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 16:46:37.244]	9b3d09c4-c36b-4cac-9b50-0cc172baa351	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 16:46:37.247]	76f985a1-1dbb-44ec-a201-b311e8ebd8a7	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 16:48:02.678]	d8133ee2-273b-4a84-887b-fb7ce0cbbeaf	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 16:48:02.680]	6b770295-a9d6-4442-aa96-82b10dfd0282	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 16:49:00.667]	0711c939-e525-45f6-8c6c-3d470b04adc7	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 16:49:00.670]	3561b3a5-2217-46e3-a800-358fc4b7b4bc	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 17:50:02.161]	1bf16494-780a-4e1b-8135-7145bf6c67b7	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 17:50:02.163]	336d9afa-72b0-4bf6-a7e5-b7e011f1fa3c	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 17:50:16.398]	69f4f3e1-cd64-4f9c-9ab1-cc21c9a8a03a	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 17:50:16.399]	15b9f022-eed5-4ad2-85ec-4f4bb711d0fd	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 17:59:22.109]	b830639f-2fe6-4cde-9ef9-4f949a03f146	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 17:59:22.111]	ae88f4c3-c150-41ba-a189-bdb35ff0f342	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 18:03:19.683]	47b82824-9608-44d2-bdaf-6ddebc8eb8d9	OPTIONS	http://localhost:3001	/api/users/v1/authentication/logout
[22/12/2023 18:03:21.401]	07047511-559b-4fb4-8f50-84b4f562c74e	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 18:03:21.403]	10aa9877-e05b-4956-874c-cef71f781e43	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 18:17:41.252]	79e7319b-82cb-47af-b733-e18a214fbf80	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 18:17:41.254]	4b646e77-4f1e-411f-bc1f-081246d376f3	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 18:17:50.970]	8e3aaf80-9777-420d-95c1-91923115b2b8	OPTIONS	http://localhost:3001	/api/users/v1/authentication/logout
[22/12/2023 18:17:55.219]	3b4170c5-6b60-4752-ac79-a5e3afabc8cd	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 18:17:55.221]	716b6b2a-abe7-4edc-9594-633095583416	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
